iter	RMSE
222	0.5028741524
223	0.5028364622
224	0.5027772616
225	0.5027271446
226	0.5026888974
227	0.5025959767
228	0.5025059402
229	0.5024656911
230	0.5024216822
231	0.5023457178
232	0.502283085
233	0.502217515
234	0.5021951169
235	0.5021296928
236	0.5020652051
237	0.5020271813
238	0.5019931886
239	0.5019285034
240	0.5018943999
241	0.5018278575
242	0.5017854817
243	0.5017150001
244	0.5016543812
245	0.5015903478
246	0.5015375149
247	0.5015067161
248	0.5014409674
249	0.501401416
250	0.5013479498
251	0.5012693923
252	0.5012477863
253	0.5012223094
254	0.5011348016
255	0.5011017381
256	0.5009894411
257	0.5009658821
258	0.5008844346
259	0.500842441
260	0.5007950836
261	0.5007477413
262	0.5006781593
263	0.5006179278
264	0.5005728694
265	0.5005101484
266	0.5004721934
267	0.5004232564
268	0.5003783836
269	0.5003323912
270	0.500303939
271	0.5002692032
272	0.5002430272
273	0.50019313
274	0.5001382327
275	0.5001103571
276	0.5000506042
277	0.4999989764
278	0.4999039722
279	0.499803074
280	0.4997712992
281	0.4997453151
282	0.4997082977
283	0.4996671207
284	0.4995970197
285	0.4995471219
286	0.4995090271
287	0.4994693832
288	0.4994292299
289	0.4993982897
290	0.4993676805
291	0.4992637862
292	0.4992399819
293	0.4992170038
294	0.4991959163
295	0.4991594485
296	0.4991273457
297	0.4990555928
298	0.4990039682
299	0.4988987262
300	0.4988721158
301	0.4987775088
302	0.4987264965
303	0.4986746272
304	0.4986368083
305	0.4985925784
306	0.4985523049
307	0.4985012842
308	0.4984430456
309	0.4984147695
310	0.4983690107
311	0.4983153198
312	0.4982737473
313	0.4982404931
314	0.4981820126
315	0.4981092474
316	0.4980818123
317	0.4980226267
318	0.4979571372
319	0.4979153775
320	0.4978332761
321	0.4977966593
322	0.4977322435
323	0.4976686964
324	0.4976187802
325	0.4975784893
326	0.49753051
327	0.4975041209
328	0.4974570388
329	0.4973815622
330	0.4973446181
331	0.4973155319
332	0.4972758344
333	0.4972373929
334	0.4972113798
335	0.4971669156
336	0.4971325433
337	0.4970940162
338	0.497035538
339	0.4969614018
340	0.4969213592
341	0.4968783411
342	0.4968466505
343	0.4968257388
344	0.4967982892
345	0.4967803896
346	0.4967533858
347	0.4967283083
348	0.4967040253
349	0.4966789371
350	0.496657491
351	0.4966308999
352	0.4965980659
353	0.4965665108
354	0.4965377541
355	0.4965132833
356	0.4964826242
357	0.4964356157
358	0.4963843283
359	0.4963649648
360	0.4963384613
361	0.4962945446
362	0.496242164
363	0.4961896526
364	0.4961627619
365	0.4961435487
366	0.4960951252
367	0.4960396661
368	0.4960077855
369	0.4959682813
370	0.4958929085
371	0.495859867
372	0.4958293026
373	0.495798729
374	0.4957466264
375	0.4956889076
376	0.4956632411
377	0.4956087228
378	0.4955342945
379	0.4954975813
380	0.4954692039
381	0.4954428981
382	0.4954082728
383	0.4953816547
384	0.4953473255
385	0.4953185557
386	0.4952721352
387	0.4952394571
388	0.4951982538
389	0.4951749781
390	0.4951418228
391	0.4951152012
392	0.4950646304
393	0.4950355486
394	0.4950086444
395	0.4949850672
396	0.4949597864
397	0.494939654
398	0.4949050892
399	0.4948674509
400	0.4948393174
401	0.4947682823
402	0.4947211145
403	0.4947108879
404	0.4946825144
405	0.4946643129
406	0.4946187531
407	0.4945684994
408	0.4945168391
409	0.4944877752
410	0.4944483551
411	0.4944202849
412	0.494389798
413	0.494324346
414	0.4942910421
415	0.4942482292
416	0.4942177314
417	0.4941860035
418	0.4941381603
419	0.4941113147
420	0.4940905096
421	0.4940622908
422	0.494031992
423	0.4939833786
424	0.4939403302
425	0.4939321565
426	0.4939003164
427	0.4938516553
428	0.4938140073
429	0.493791347
430	0.4937467982
431	0.493700281
432	0.4936761372
433	0.4936312688
434	0.4935960559
435	0.4935707555
436	0.4935547359
437	0.4935085088
438	0.4934726659
439	0.4934157777
440	0.4933842062
441	0.4933325264
442	0.4932965348
443	0.4932590103
444	0.4932250078
445	0.4931795608
446	0.4931518842
447	0.493118232
448	0.4930951632
449	0.4930550111
450	0.4930226749
451	0.4930150234
452	0.4929820826
453	0.4929441601
454	0.4929080342
455	0.4928648976
456	0.4928280956
457	0.4928158268
458	0.4927661557
459	0.4927496931
460	0.492726671
461	0.4927009983
462	0.4926665929
463	0.4926469086
464	0.4926206335
465	0.4925972727
466	0.4925570305
467	0.4925241363
468	0.492487179
469	0.4924787893
470	0.4924273175
471	0.492395286
472	0.492372444
473	0.4923313338
474	0.4922808093
475	0.4922595182
476	0.4922332058
477	0.4921912535
478	0.4921569924
479	0.4921339487
480	0.4920978958
481	0.492075912
482	0.4920485092
483	0.4920264983
484	0.4919995598
485	0.4919773729
486	0.491949861
487	0.49192464
488	0.4918995941
489	0.4918790891
490	0.4918583662
491	0.4918260264
492	0.491811482
493	0.4917622913
494	0.4917194795
495	0.491688309
496	0.4916593366
497	0.4916397564
498	0.4916217361
499	0.4915903991
500	0.491568391
501	0.4915355237
502	0.4915059352
503	0.4914859102
504	0.4914575514
505	0.4913967617
506	0.4913782715
507	0.4913525165
508	0.4913250849
509	0.4912797484
510	0.4912644028
511	0.4912256975
512	0.4912020727
513	0.4911659303
514	0.4911415985
515	0.4911181575
516	0.4910710284
517	0.4910344262
518	0.4910112312
519	0.4909944305
520	0.490968507
521	0.4909501437
522	0.4909294272
523	0.4908948686
524	0.4908548295
525	0.4908208605
526	0.490790501
527	0.4907749766
528	0.4907468739
529	0.4907159498
530	0.4906750363
531	0.4906475973
532	0.4906091649
533	0.4905574082
534	0.4905143842
535	0.4904809577
536	0.4904551445
537	0.490439018
538	0.4903939912
539	0.4903606969
540	0.4903400027
541	0.4903036971
542	0.4902755255
543	0.4902167116
544	0.4902013423
545	0.4901882609
546	0.4901551419
547	0.4901137565
548	0.4900749999
549	0.4900494886
550	0.4900240713
551	0.4900000777
552	0.4899590002
553	0.4899399519
554	0.4898828413
555	0.4898576471
556	0.4898345541
557	0.4898081731
558	0.4897740416
559	0.489748448
560	0.4897236422
561	0.4896879032
562	0.4896466635
563	0.4896088611
564	0.4895859008
565	0.4895652904
566	0.4895328473
567	0.4895026822
568	0.489474953
569	0.4894339214
570	0.4894129371
571	0.489360838
572	0.4893387596
573	0.4893218168
574	0.4893039149
575	0.4892769514
576	0.4892584425
577	0.4892100555
578	0.4891821997
579	0.4891660157
580	0.4891389776
581	0.4890859972
582	0.4890662826
583	0.4890210491
584	0.4889909338
585	0.4889613449
586	0.4889253377
587	0.4888990492
588	0.4888788378
589	0.4888601494
590	0.4888268054
591	0.4888111883
592	0.488774836
593	0.4887488236
594	0.4887248697
595	0.4886952579
596	0.488665018
597	0.4886347815
598	0.4885934119
599	0.4885647739
600	0.488522387
601	0.4885058093
602	0.488485069
603	0.4884637182
604	0.4884340483
605	0.4884022392
606	0.4883720411
607	0.4883377231
608	0.4883229527
609	0.4882949365
610	0.4882743056
611	0.4882214825
612	0.4881859459
613	0.488174727
614	0.4881451603
615	0.4881240721
616	0.4880934365
617	0.4880586617
618	0.4880398725
619	0.488019356
620	0.4879887257
621	0.4879517253
622	0.487937141
623	0.4879225472
624	0.4878830889
625	0.4878517564
626	0.4878321431
627	0.4878114645
628	0.4877864625
629	0.487767796
630	0.4877374444
631	0.4877050952
632	0.4876854406
633	0.4876582053
634	0.4876403616
635	0.4875988818
636	0.4875859698
637	0.4875744215
638	0.4875470379
639	0.4875243638
640	0.4874832571
641	0.4874652881
642	0.4874423798
643	0.4874256915
644	0.4873952224
645	0.4873712721
646	0.487359537
647	0.4873319915
648	0.4873147911
649	0.4872780713
650	0.4872448544
651	0.4872080085
652	0.4871828252
653	0.4871550344
654	0.4871411969
655	0.4871235197
656	0.487103937
657	0.4870851153
658	0.487069129
659	0.4870361031
660	0.4870160807
661	0.4870063937
662	0.4869691977
663	0.4869432722
664	0.4869284243
665	0.4869117996
666	0.4868839968
667	0.4868481244
668	0.4868272472
669	0.4868171532
670	0.4867901772
671	0.4867741239
672	0.4867479856
673	0.4867155218
674	0.4866941529
675	0.4866700719
676	0.4866329255
677	0.4866118142
678	0.4865846433
679	0.486552949
680	0.4865286446
681	0.4864922361
682	0.4864614881
683	0.4864400437
684	0.4864247608
685	0.4863991206
686	0.4863660714
687	0.486336182
688	0.4863214486
689	0.4863043233
690	0.4862563741
691	0.4862435279
692	0.4862069219
693	0.4861645474
694	0.4861416059
695	0.4861236046
696	0.4861036215
697	0.4860751902
698	0.4860524603
699	0.4860288418
700	0.485994704
701	0.4859714703
702	0.485948587
703	0.4859229537
704	0.48590357
705	0.4858868813
706	0.4858586356
707	0.485835889
708	0.4858169457
709	0.4857923539
710	0.4857669251
711	0.4857445069
712	0.4857184329
713	0.4856800608
714	0.4856497353
715	0.4856327538
716	0.4856167148
717	0.4855966475
718	0.4855638914
719	0.485544813
720	0.4855200589
721	0.485503476
722	0.4854535427
723	0.4854281869
724	0.4854017836
725	0.4853910213
726	0.4853569622
727	0.4853357521
728	0.48530023
729	0.4852618286
730	0.4852463237
731	0.485227634
732	0.4852178726
733	0.4851949666
734	0.4851693845
735	0.4851392338
736	0.4851161605
737	0.4850891967
738	0.4850197641
739	0.4849996863
740	0.4849740172
741	0.4849599488
742	0.4849213067
743	0.4848750035
744	0.4848382001
745	0.4847956953
746	0.484776612
747	0.4847544126
748	0.4847394025
749	0.484700532
750	0.484676169
751	0.4846617789
752	0.4846334985
753	0.4846051379
754	0.4845824545
755	0.4845347426
756	0.4845189754
757	0.4845117938
758	0.4844909774
759	0.4844638407
760	0.4844297087
761	0.4844064918
762	0.4843851036
763	0.4843506457
764	0.4843191124
765	0.4842965309
766	0.4842785767
767	0.4842624875
768	0.4842375466
769	0.4841978095
770	0.4841859071
771	0.4841570549
772	0.4841440428
773	0.4841247371
774	0.4841054894
775	0.484082211
776	0.4840574577
777	0.4840458861
778	0.4840257189
779	0.4840107562
780	0.4839865281
781	0.4839726454
782	0.483951725
783	0.4839393179
784	0.4839101714
785	0.4838945965
786	0.4838747824
787	0.4838522418
788	0.483815044
789	0.4838019809
790	0.4837658931
791	0.4837476237
792	0.4837321604
793	0.4837204175
794	0.4836886027
795	0.4836494081
796	0.4836376065
797	0.4836023578
798	0.4835559724
799	0.4835320657
800	0.4835094411
801	0.4834877347
802	0.4834641691
803	0.4834412051
804	0.4834225176
805	0.4833806796
806	0.4833560841
807	0.4833324892
808	0.4833014795
809	0.4832846219
810	0.4832681769
811	0.4832417424
812	0.4832216922
813	0.4832000402
814	0.4831732594
815	0.4831254147
816	0.4831104393
817	0.4830919497
818	0.4830733962
819	0.483057104
820	0.4830410584
821	0.4830091383
822	0.4829898812
823	0.4829767942
824	0.4829533268
825	0.4829368115
826	0.4829252887
827	0.4829042338
828	0.4828892149
829	0.4828704091
830	0.4828530576
831	0.4828385209
832	0.482809128
833	0.4827838967
834	0.4827517203
835	0.4827133343
836	0.482695513
837	0.4826751632
838	0.4826602954
839	0.4826428755
840	0.4826252021
841	0.4825997122
842	0.4825887385
843	0.4825632895
844	0.4825469923
845	0.4825291173
846	0.4825094647
847	0.4824912121
848	0.4824704092
849	0.4824521243
850	0.4824234559
851	0.4823974411
852	0.4823718585
853	0.4823464265
854	0.4823156909
855	0.4822913729
856	0.4822621213
857	0.4822319056
858	0.482195803
859	0.4821779706
860	0.4821663584
861	0.4821259159
862	0.4821055455
863	0.4820938566
864	0.4820688099
865	0.4820460367
866	0.4820227397
867	0.4819984972
868	0.4819817526
869	0.481945133
870	0.4819288729
871	0.4819029073
872	0.4818714973
873	0.4818573659
874	0.481823368
875	0.481808696
876	0.4817648206
877	0.4817573665
878	0.4817417714
879	0.4817162737
880	0.4816978069
881	0.4816884623
882	0.4816649079
883	0.4816457626
884	0.4816171467
885	0.4816053982
886	0.4815936021
887	0.4815820832
888	0.4815592772
889	0.4815364549
890	0.4815230435
891	0.4814849569
892	0.4814567864
893	0.4814229558
894	0.481397791
895	0.4813703058
896	0.4813423397
897	0.4813270326
898	0.4813060383
899	0.48128555
900	0.4812723824
901	0.48125446
902	0.481234583
903	0.4812073688
904	0.4811820146
905	0.4811668255
906	0.4811504936
907	0.481142298
908	0.4811107254
909	0.4810891506
910	0.4810608012
911	0.4810395013
912	0.4810296156
913	0.4810129724
914	0.4809806244
915	0.480956808
916	0.4809276547
917	0.4809009282
918	0.4808802599
919	0.4808644278
920	0.4808467987
921	0.4808340954
922	0.4808134779
923	0.4807931484
924	0.4807707524
925	0.4807475015
926	0.4807272096
927	0.4807150031
928	0.4806857992
929	0.4806601444
930	0.4806417251
931	0.4806176901
932	0.4806054597
933	0.4805833664
934	0.4805666706
935	0.4805443195
936	0.480529419
937	0.4805033381
938	0.4804810615
939	0.48044619
940	0.480417294
941	0.4804041745
942	0.4803731023
943	0.4803568786
944	0.4803421553
945	0.480303189
946	0.4802886283
947	0.4802784115
948	0.4802476376
949	0.4802254998
950	0.4801997247
951	0.4801738939
952	0.4801591013
953	0.4801251575
954	0.4800987757
955	0.4800704908
956	0.4800496876
957	0.480028811
958	0.4800156305
959	0.4800012407
960	0.4799718595
961	0.4799579444
962	0.4799367164
963	0.4799143294
964	0.4798868265
965	0.4798708453
966	0.4798514298
967	0.4798372047
968	0.4798076634
969	0.4797774339
970	0.4797586323
971	0.4797324273
972	0.479700461
973	0.479682663
974	0.4796618522
975	0.4796424867
976	0.4796241716
977	0.4796134636
978	0.4795997846
979	0.4795865637
980	0.4795760791
981	0.479565223
982	0.4795433494
983	0.4795278789
984	0.4795157328
985	0.479502858
986	0.4794957771
987	0.4794773169
988	0.4794482699
989	0.479430407
990	0.479421076
991	0.4793852834
992	0.4793605918
993	0.4793320924
994	0.4793148029
995	0.4792967396
996	0.4792896833
997	0.4792694682
998	0.4792545958
999	0.4792406708
